Star Name,Radec,Decdec
V657 Cas,358.01666667,61.80333333
V657 Cas,358.01666667,61.80333333
V850 Cas,354.41250000,58.84611111
V850 Cas,354.41250000,58.84611111
V818 Sco,244.97916667,-14.35972222
2MASS J16194990-1537248,244.95416667,-14.37666667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
U Sco,245.62500000,-16.12166667
R Aqr,355.95416667,-14.71555556
T Peg,332.22500000,12.54000000
CRTS J105122.8+672528,162.84166667,67.42444444
CRTS J105122.8+672528,162.84166667,67.42444444
V386 Ser,242.63750000,-0.96027778
V386 Ser,242.63750000,-0.96027778
KIC 2856960,292.37916667,38.07638889
KIC 2856960,292.37916667,38.07638889
KIC 2856960,292.37916667,38.07638889
